symbol,company_name,sector,current_price,price_change_1d_pct,technical_score,signal,rsi,macd,stop_loss,take_profit_1
TSLA,"Tesla, Inc.",Consumer Cyclical,329.6499938964844,3.205907804067233,85.77911855013322,STRONG_BUY,52.5970618337774,-0.3119547634125297,304.8371364048549,354.46285138811385
NEE,"NextEra Energy, Inc.",Utilities,75.94999694824219,1.024204096755498,85.49203496049499,STRONG_BUY,68.30678320164998,1.1538104344190145,71.82571302141461,80.07428087506976
AMGN,Amgen Inc.,Healthcare,294.760009765625,-1.1701559880553227,84.64518515341896,STRONG_BUY,65.48395051139653,3.330202399943346,281.0557207380022,308.4642987932478
GOOGL,Alphabet Inc.,Communication Services,185.05999755859375,0.8061857025696488,84.4022463680653,STRONG_BUY,64.67415456021769,3.385017688369942,177.0857151576451,193.0342799595424
ABBV,AbbVie Inc.,Healthcare,189.25999450683594,-1.1180770417400443,83.88540755312094,STRONG_BUY,62.95135851040314,1.3614614494316015,180.18863619719573,198.33135281647614
BMY,Bristol-Myers Squibb Company,Healthcare,47.36000061035156,-1.456514238321419,82.59886719810964,STRONG_BUY,58.6628906603655,0.050116105492271856,45.0636707265301,49.65633049417303
JNJ,Johnson & Johnson,Healthcare,163.6999969482422,0.4417727571344297,70.0,STRONG_BUY,75.50835648354042,2.220990200673924,157.90999930245536,169.489994594029
NVDA,NVIDIA Corporation,Technology,172.41000366210938,-0.34103834560151736,70.0,STRONG_BUY,75.17174018526457,7.98707848730885,164.66143362862724,180.1585736955915
RTX,RTX Corporation,Industrials,151.5,0.0,70.0,STRONG_BUY,74.92709813891724,2.8271647361781334,147.33570861816406,155.66429138183594
AAPL,Apple Inc.,Technology,211.17999267578125,0.5523228167424702,65.0,BUY,70.07150884202495,2.293989533863737,203.0399932861328,219.3199920654297
PEP,"PepsiCo, Inc.",Consumer Defensive,143.24000549316406,-1.5126491414413346,60.0,BUY,72.64290512488516,2.4125565981023556,137.2942897251674,149.18572126116072
AVGO,Broadcom Inc.,Technology,283.3399963378906,-1.08570980506465,48.741304208257205,HOLD,62.47101402752402,9.593960748870131,268.3957214355469,298.2842712402344
TXN,Texas Instruments Incorporated,Technology,216.6199951171875,0.013850491622002472,45.826540090024324,HOLD,69.42180030008107,6.514789628286877,208.63143048967635,224.60855974469865
MSFT,Microsoft Corporation,Technology,510.04998779296875,-0.3224593266952881,45.35143343482682,HOLD,67.83811144942274,10.450978083677512,497.7128426688058,522.3871329171317
NFLX,"Netflix, Inc.",Communication Services,1209.239990234375,-5.095870368282203,45.0,HOLD,29.509140117721316,6.213475370816013,1143.1014055524554,1275.3785749162946
HON,Honeywell International Inc.,Industrials,236.5399932861328,-0.7677148418596148,44.318603913817185,HOLD,64.39534637939062,3.5298093388859684,229.23856462751115,243.84142194475447
JPM,JPMorgan Chase & Co.,Financial Services,291.2699890136719,0.47257507624394396,42.055826174194465,HOLD,56.852753913981545,5.268661474679163,279.77188946947246,302.7680885578713
AMZN,"Amazon.com, Inc.",Consumer Cyclical,226.1300048828125,1.0050026580880849,41.582183238328575,HOLD,55.27394412776192,4.123762888918122,219.12714276994978,233.13286699567522
WFC,Wells Fargo & Company,Financial Services,80.63999938964844,1.1667297903117695,41.163263717328576,HOLD,53.87754572442858,1.3500036401126607,77.02714429582868,84.2528544834682
INTC,Intel Corporation,Technology,23.100000381469727,1.3157945370521724,40.95054042517063,HOLD,53.168468083902106,0.5134543067750528,21.477143151419504,24.72285761151995
BAC,Bank of America Corporation,Financial Services,47.31999969482422,0.6380247429602326,40.43227791638565,HOLD,51.44092638795216,0.5584993258934219,45.40142658778599,49.238572801862446
ABT,Abbott Laboratories,Healthcare,123.66999816894531,2.622185691394004,40.0,SELL,27.2372240103126,-1.7409263943495432,117.53773351710497,129.80226282078567
DIS,The Walt Disney Company,Communication Services,121.41999816894531,-0.6464290331769726,39.07133336893036,SELL,46.90444456310121,1.7156732183510712,118.02714102608817,124.81285531180245
CVX,Chevron Corporation,Energy,150.0399932861328,-0.8851972212030432,39.025331283978474,SELL,63.417770946594906,2.413896923286842,143.3399919782366,156.739994594029
CSCO,"Cisco Systems, Inc.",Technology,68.05000305175781,-0.36603219447962504,29.62674568771336,STRONG_SELL,48.75581895904454,0.8624191406698998,66.24967259750115,69.85033350601448
LLY,Eli Lilly and Company,Healthcare,771.7100219726562,1.3407776720494091,29.571429770416465,STRONG_SELL,48.57143256805489,0.5608786471976828,733.7643083844866,809.6557355608259
PM,Philip Morris International Inc.,Consumer Defensive,178.72999572753906,-0.24557819160736785,28.782638261855574,STRONG_SELL,45.94212753951858,0.617114144236723,171.61713518415178,185.84285627092635
QCOM,QUALCOMM Incorporated,Technology,154.8000030517578,1.4350320638539475,26.95441261257679,STRONG_SELL,39.84804204192263,0.45138782652074383,148.75142778669084,160.84857831682478
PFE,Pfizer Inc.,Healthcare,24.469999313354492,-0.4475207920789006,26.27272054709644,STRONG_SELL,54.2424018236548,0.24863535922557034,23.487142290387833,25.45285633632115
TMO,Thermo Fisher Scientific Inc.,Healthcare,414.75,-2.407174625127776,25.937590935826393,STRONG_SELL,53.12530311942131,3.421064819352125,387.5628662109375,441.9371337890625
MRK,"Merck & Co., Inc.",Healthcare,79.95999908447266,-1.9136379082842294,25.89583434882031,STRONG_SELL,52.98611449606769,0.7692314773325535,76.04142652239118,83.87857164655414
META,"Meta Platforms, Inc.",Communication Services,704.280029296875,0.4091838243298476,25.139133177258337,STRONG_SELL,33.797110590861124,8.2270343051199,676.452880859375,732.107177734375
DHR,Danaher Corporation,Healthcare,190.0500030517578,-2.4333848748648435,21.322496406550208,STRONG_SELL,37.7416546885007,-0.6044888635073278,179.37000601632255,200.73000008719308
MA,Mastercard Incorporated,Financial Services,552.6599731445312,-0.5309501781478294,20.723649343543293,STRONG_SELL,52.412164478477635,-2.6620738284566414,535.4650170336339,569.8549292554286
V,Visa Inc.,Financial Services,349.04998779296875,-0.21726359192970096,20.16549713419907,STRONG_SELL,50.551657113996896,-1.5755838269317906,338.2714189801897,359.8285566057478
UNH,UnitedHealth Group Incorporated,Healthcare,282.6499938964844,-1.8814917519803531,20.11327791678049,STRONG_SELL,33.710926389268295,-8.171089720122211,265.8314208984375,299.46856689453125
KO,The Coca-Cola Company,Consumer Defensive,69.8499984741211,-1.048304153788888,19.03484370445748,STRONG_SELL,46.7828123481916,-0.22713230704407295,67.95999581473214,71.74000113351005
CMCSA,Comcast Corporation,Communication Services,34.540000915527344,-0.4610946509920356,18.812647469638023,STRONG_SELL,46.042158232126745,0.040668952211902365,33.19919325286075,35.880808578193935
UPS,"United Parcel Service, Inc.",Industrials,99.22000122070312,-0.2814058083385679,18.157893730457424,STRONG_SELL,43.85964576819141,0.10155388548460564,94.97857339041573,103.46142905099052
VZ,Verizon Communications Inc.,Communication Services,40.84000015258789,-0.2686217540955828,17.154979840906613,STRONG_SELL,40.516599469688714,-0.33393955571104783,39.67560492891011,42.00439537626567
WMT,Walmart Inc.,Consumer Defensive,95.05000305175781,-0.04205835279528382,16.79808193833827,STRONG_SELL,39.326939794460905,-0.4572644641818471,92.17286028180804,97.92714582170758
PG,The Procter & Gamble Company,Consumer Defensive,155.10000610351562,0.34744270166958885,16.61661995473689,STRONG_SELL,38.722066515789635,-1.89238602562952,150.51375766758133,159.68625453944992
HD,"The Home Depot, Inc.",Consumer Cyclical,359.3999938964844,0.1002632974028185,16.318962399781256,STRONG_SELL,37.72987466593753,-0.4167280860282858,344.7542724609375,374.04571533203125
ACN,Accenture plc,Technology,282.44000244140625,-0.09197373696418011,16.182563443646508,STRONG_SELL,37.275211478821696,-7.140752343475981,270.8785836356027,294.0014212472098
CRM,"Salesforce, Inc.",Technology,262.3800048828125,0.9619824353656308,15.576923547176271,STRONG_SELL,35.2564118239209,-2.365161334348329,251.47428458077567,273.28572518484935
BRK-B,Berkshire Hathaway Inc.,Financial Services,473.79998779296875,0.08449385332519445,15.5338286516725,STRONG_SELL,35.11276217224167,-5.975279119376125,461.59997994559154,485.99999564034596
ADBE,Adobe Inc.,Technology,365.7900085449219,-0.1801074198727264,15.113791043946883,STRONG_SELL,33.71263681315628,-8.090007285069248,348.7385777064732,382.8414393833705
COST,Costco Wholesale Corporation,Consumer Defensive,950.9500122070312,-0.3102977241911615,14.301028557476116,STRONG_SELL,31.00342852492038,-11.483551637810024,923.2157331194196,978.6842912946429
XOM,Exxon Mobil Corporation,Energy,107.7699966430664,-3.483796248846981,13.782146973863824,STRONG_SELL,45.940489912879414,0.9408223106308498,103.60285404750279,111.93713923863002
UNP,Union Pacific Corporation,Industrials,224.8699951171875,-1.1517035090384629,10.942916389530112,STRONG_SELL,36.476387965100365,1.2144865462315408,217.057133265904,232.682856968471
